alpha,seed,T,d,r,beta,lambda_reg,covariance_type,rho,length_scale,eta,mask_value,n_steps,learning_rate,n_population_config,n_train,n_population,train_loss,population_risk,bayes_population_risk,empirical_bayes_risk,weight_norm,trace_s,top_eigenvalue,R1
5.0,0,6,50,50,1.0,0.0,toeplitz,0.5,,,1.0,500,0.001,5000,12500,5000,0.8635016718088073,0.8616470183288806,0.65,0.6496383140228913,4.74530881324736,4.74530881324736,0.4460021186597648,0.0939880071481695
0.5,0,4,50,50,1.0,0.0,toeplitz,0.8,,,1.0,500,0.001,5000,1250,5000,0.3979001975479118,0.4020182865544361,0.2897560975609755,0.2905873748521639,10.0377643008954,10.0377643008954,0.8331523563601269,0.0830017851969095
1.0,0,4,50,50,1.0,0.0,toeplitz,0.8,,,1.0,500,0.001,5000,2500,5000,0.4013410038219673,0.3998502136533735,0.2897560975609755,0.2891994571616683,10.111644121652033,10.111644121652036,0.8472099832415966,0.0837855815581432
2.0,0,4,50,50,1.0,0.0,toeplitz,0.8,,,1.0,500,0.001,5000,5000,5000,0.4022457328213901,0.4000035933675546,0.2897560975609755,0.2893972499642421,10.055961509503096,10.0559615095031,0.867683343937873,0.0862854678906531
3.0,0,4,50,50,1.0,0.0,toeplitz,0.8,,,1.0,500,0.001,5000,7500,5000,0.3992576514327871,0.398448755771661,0.2897560975609755,0.288215164539261,10.091517591422196,10.091517591422194,0.8805062246736107,0.0872521121522933
5.0,0,4,50,50,1.0,0.0,toeplitz,0.8,,,1.0,500,0.001,5000,12500,5000,0.3997988130266437,0.4013827415999366,0.2897560975609755,0.2898603934998214,10.111962223353595,10.111962223353595,0.874007508864542,0.0864330274935185
0.5,0,6,50,50,1.0,0.0,toeplitz,0.8,,,1.0,500,0.001,5000,1250,5000,0.4607308205951448,0.4595630568947269,0.2663414634146341,0.2670365149389226,8.861214289369164,8.861214289369164,0.8836257730217911,0.0997183618594892
1.0,0,6,50,50,1.0,0.0,toeplitz,0.8,,,1.0,500,0.001,5000,2500,5000,0.4576534802913254,0.4581088891882842,0.2663414634146341,0.2666618308565526,8.705865656515645,8.705865656515643,0.8114560273662366,0.0932079656844838
2.0,0,6,50,50,1.0,0.0,toeplitz,0.8,,,1.0,500,0.001,5000,5000,5000,0.4561172573352282,0.4566333161904616,0.2663414634146341,0.2653005744819174,8.633124756799061,8.633124756799061,0.7297464314082311,0.0845286558419668
3.0,0,6,50,50,1.0,0.0,toeplitz,0.8,,,1.0,500,0.001,5000,7500,5000,0.4579111819710497,0.4583833454699543,0.2663414634146341,0.2655666133749851,8.665938541411291,8.66593854141129,0.7926705224012762,0.0914696681280855
5.0,0,6,50,50,1.0,0.0,toeplitz,0.8,,,1.0,500,0.001,5000,12500,5000,0.4602910705227118,0.458531980007168,0.2663414634146341,0.2665778991212906,8.618800185836017,8.618800185836017,0.7986061089126736,0.0926586174053656
0.5,0,4,50,50,1.0,0.0,tridiagonal,0.2,,,1.0,500,0.001,5000,1250,5000,1.133949820289412,1.1402813283878388,0.9382971014492754,0.94208208959476,4.041003396122619,4.041003396122619,0.7638462227111231,0.1890239002135066
1.0,0,4,50,50,1.0,0.0,tridiagonal,0.2,,,1.0,500,0.001,5000,2500,5000,1.1335321433444805,1.1341577115520045,0.9382971014492754,0.935381205186696,3.1373766685607394,3.1373766685607385,0.6206067656171335,0.1978107288921209
2.0,0,4,50,50,1.0,0.0,tridiagonal,0.2,,,1.0,500,0.001,5000,5000,5000,1.1371667324546664,1.1350064226296388,0.9382971014492754,0.9364845394341778,2.3806525948061843,2.380652594806184,0.4301686446533359,0.1806935819160784
